prj_title,year,beneficiaries,sector,status,region,implementor,cost
Assessment of Alternative Livelihood Opportunities for Small Scale Aquaculture Operation in the Philippines,2010,"Worldfish Center, Los Baños, Laguna",Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region VIII,RO-GIA,"209,081.00"
Automatic Charging System (ACS) for Electric Vehicles,2020,Local Government Unit - Cagayan de Oro,Metals & Engineering,On-going,Region X,PSTC-MISAMIS ORIENTAL,0
"Bamboo Nursery & Production Facilities Project: A CEST-Climate Change Adaptation Support Strategy of the Municipality of Alubijid, Misamis Oriental- D2",2019,"LGU-Alubijid, Misamis Oriental",Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region X,PSTC-MISAMIS ORIENTAL,"254,000.00"
Bioreactor and Plastic Densifier Technology Training for LGU-Linamon,2016,"LGU-Linamon, Lanao del Norte",Other Regional Industry Priorities,Completed,Region X,PSTC-LANAO DEL NORTE,"70,148.00"
"CacaoPro: Utilization of DOST Technologies in the Establishment of Cacao Processing Facility as an S & T Intervention for PRLEC and ELCAC Areas in Lagonglong, Misamis Oriental-D1",2022,LGU Lagonglong-LACOFED,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-MISAMIS ORIENTAL,"637,418.00"
"Capability Building on Advanced Handicrafts Products Design to Improve Efficiency and Productivity of IP Communities thru Various S&T Interventions in Impasug-ong, Bukidnon – D-2",2018,Local Abaca Weavers from the IP Communities in Impsaugong,Gifts / Decors / Handicrafts,On-going,Region X,PSTC-BUKIDNON,"337,000.00"
"Capacity Building cum Strengthening of Disaster Preparedness of Managok and Casisang NHS, A gida, rtf-elcaca Area thru Provision of DRRM Kits in Malaybalay City, BUK. -D2;",2020,LGU-Malaybalay City,ICT,New,Region X,PSTC-BUKIDNON,"203,105.00"
Capacity Building of the Salt Makers for Quality Production of Iodized Salt in the Selected Municipalities of Misamis Oriental - D1 & D2,2019,Local Government Unit of Alubijid,Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region X,PSTC-MISAMIS ORIENTAL,"154,000.00"
"Catalyzing Research and Innovation, Adopting the Public-Private Model of Collaboration from among HEIs",2015,"Holy Angel University, Don Honorio Ventura Technological State University",Other Regional Industry Priorities,Completed,Region III,PSTC-PAMPANGA,"193,000.00"
"CEST Support for the Development of Moriculture and Sericulture Farms and Establishment Banana Food Processing Facility in Brgy. Cauyunan, Opol, Misamis Oriental – D2",2020,Cauyunan Coconut Farmers,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-MISAMIS ORIENTAL,"550,000.00"
CEST Support to PTRI's Cocoon Production Hub and Post Harvest Facility to Seri-Farmers in Northern Mindanao,2019,Seri farmers of Northern Mindanao,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-MISAMIS ORIENTAL,"3,000,000.00"
CEST UP Writeshop,2016,SLSU-Bontoc,,Completed,Region VIII,RO-GIA,"130,000.00"
"Common Service Facility for the Adoption of FNRI Technology on Stabilized Brown Rice Production in Sta. Rita, Samar",2017,"Binanalan Farmers Association (BFA), Dampigan Farmers Association (DFA)",Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region VIII,PSTC-SAMAR,"2,826,111.00"
"Community Empowerment through Science and Technology (CEST) for Bukidnon and Misamis Oriental in Region 10: Commercialization of Tonggan vinegar and other by-Products in Lanise, Claveria, Misamis Oriental D-2",2019,Local Government Unit of Claveria,Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region X,PSTC-MISAMIS ORIENTAL,"206,000.00"
"Community Empowerment through Science and Technology (CEST) for Bukidnon and Misamis Oriental in Region 10: Enhancing of Human Resource through S & T Innovations in Claveria, Misamis Oriental",2019,Local Government Unit of Claveria,Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region X,PSTC-MISAMIS ORIENTAL,"374,200.00"
"Community Empowerment thru S & T: Innovation in Cassava Processing of Catarman, Camiguin",2019,LGU Catarman Camiguin,Food Processing,On-going,Region X,PSTC-CAMIGUIN,"202,998.00"
"Community Empowerment thru S & T: Innovation in the Production of Cakes and Pastries of Catarman, Camiguin",2019,LGU Catarman Camiguin,Food Processing,On-going,Region X,PSTC-CAMIGUIN,"430,950.00"
"Community Empowerment thru S&T (CEST) Program for Disaster Stricken Areas in Batangas Province (Laurel, Batangas)",2020,"LGU - Laurel, Batangas",Other Regional Industry Priorities,On-going,Region IV-A,PSTC-BATANGAS,"1,161,500.00"
"Community Empowerment thru S&T (CEST) Program for Disaster Stricken Areas in Batangas Province (Talisay, Batangas)",2020,LGU Talisay,Other Regional Industry Priorities,On-going,Region IV-A,PSTC-BATANGAS,"927,000.00"
Community Empowerment thru S&T (CEST) Program for Disaster-Stricken Areas in Batangas Province (Agoncillo Batangas),2020,LGU Agoncillo,Other Regional Industry Priorities,On-going,Region IV-A,PSTC-BATANGAS,"1,120,000.00"
Community Empowerment thru S&T (CEST) Program for Disaster-Stricken Areas in Batangas Province (San Nicolas Batangas),2020,LGU San Nicolas,Other Regional Industry Priorities,On-going,Region IV-A,PSTC-BATANGAS,"1,049,000.00"
"Community Empowerment thru S&T (CEST) Project for Community-based Forest Management (CBFM) Site in Infanta, Quezon",2019,"Binonoan Producers' Cooperative (BIPCO), Municipality of Infanta",Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region IV-A,RO-Project Coordinators,"1,513,495.00"
"Community Empowerment thru S&T (CEST) Project for Community-based Forest Management (CBFM) Site in Liliw, Laguna",2019,"Municipality of Liliw, Liliw Upland Farmers' Marketing Cooperative (LUFAMCO)",Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region IV-A,RO-Project Coordinators,"1,108,495.00"
"Community Empowerment thru S&T (CEST) Project for Community-based Forest Management (CBFM) Site in Magallanes, Cavite",2019,"Ramirez Upland Farmers' Association Inc. (RUFAI), Municipality of Magallanes",Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region IV-A,RO-Project Coordinators,"1,028,495.00"
"Community Empowerment thru S&T (CEST) Project for Community-based Forest Management (CBFM) Site in Rosario, Batangas",2019,"Municipality of Rosario, Mt. View Upland Farmers Association, Inc.",Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region IV-A,RO-Project Coordinators,"1,028,495.00"
"Community Empowerment thru S&T (CEST) Support to Tacloban, City - Establishment of Technology Center for Veggie Bread Production, Fruit Preserves, Peanut Butter Processing, Detergent Production and Online Freelancing Resource Center",2017,Womens Economic Sustainable Dev't Association (WESDA),,On-going,Region VIII,PSTC-LEYTE,"3,631,164.00"
"Community Empowerment thru S&T Innovation in Turmeric & Salabat Production of Owakan, Mahinog, Camiguin",2019,"LGU-Mahinog, Camiguin",Food Processing,On-going,Region X,PSTC-CAMIGUIN,"149,420.00"
"Community Empowerment thru S&T Innovation in Turmeric & Salabat Production of Owakan, Mahinog, Camiguin",2019,OWAKAN SALABAT PROCESSORS,Food Processing,On-going,Region X,PSTC-CAMIGUIN,"149,420.00"
"Community Empowerment thru Science and Technology (CEST) for Bukidnon and Misamis Oriental in Region 10: Sericulture Revitalization towards the Development of Mindanao Silk thru the Establishment of a Silk Weaving Center in Malitbog, Bukidnon",2017,LGU-Malitbog,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,RO-Coordinators,"734,000.00"
"Community Empowerment Thru Science and Technology (CEST) on Improving Health and Sanitation - Adoption of EcoSep Technology of AU-PCIERD & Adamson University to Address Water Contamination in Albuera, Leyte",2017,LGU Albuera,,On-going,Region VIII,PSTC-LEYTE,"440,000.00"
"Community Empowerment Thru Science and Technology (CEST) on Improving Health and Sanitation - Adoption of EcoSep Technology of AU-PCIERD & Adamson University to Address Water Contamination in Palompon, Leyte",2017,LGU Palompon,,On-going,Region VIII,PSTC-LEYTE,"580,000.00"
"Community Empowerment trough Science and Technology on Livelihood development in Magsaysay, Misamis Oriental - D1",2019,Local Government Unit of Magsaysay,Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region X,PSTC-MISAMIS ORIENTAL,"521,849.00"
"Community Empowerment trough Science and Technology (CEST) for Bukidnon and Misamis Oriental in Region 10: Enhancing of Human Resource through S & T Innovations in Laguindingan, Misamis Oriental - D2",2019,Local Government Unit of Laguindingan,Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region X,PSTC-MISAMIS ORIENTAL,"325,700.00"
"Community Emprovement thru Science and Technology (CEST) for Bukidnon and Misamis Oriental in Region 10: Upgrading of Silk Weaving Center at Laguindingan, Misamis Oriental- D2",2019,Local Government Unit of Laguindingan,Gifts / Decors / Handicrafts,Completed,Region X,PSTC-MISAMIS ORIENTAL,0
Comprehensive Aquaculture Development and Technical Assistance Program (AQUADEV),2011,"Worldfish Center, Los Baños, Laguna",Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region VIII,PSTC-NORTHERN SAMAR,"180,420.00"
Comprehensive Aquaculture Development and Technical Assistance Program Phase II (AQUADEV),2012,"Worldfish Center, Los Baños, Laguna",Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region VIII,RO-GIA,"120,280.00"
Comprehensive Aquaculture Development and Technical Assistance Program Phase III (AQUADEV),2013,"Worldfish Center, Los Baños, Laguna",Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region VIII,RO-GIA,"568,583.00"
Conduct of Impact Assessment of MPEX Program Implementation in Eastern Visayas from CY 2009 to 2015,2017,UPVTC,Other Regional Industry Priorities,Completed,Region VIII,RO-GIA,"535,000.00"
Contact Tracing Automated Collection and Tracking System (ConTACTS),2020,Saint Luis University,Other Regional Industry Priorities,On-going,CAR,RO-LGIA,"200,000.00"
Crepe Rubber Production,1997,LGU-Talakag,Other Regional Industry Priorities,On-going,Region X,PSTC-BUKIDNON,"18,823,200.00"
Cross Country Learning and Development for S&T and R&D Managers of Eastern Visayas,2017,"EVCIEERD, TWG Members and Researchers of SuCs in Region 8",Other Regional Industry Priorities,Completed,Region VIII,RO-GIA,"484,717.00"
Customer Focused DARIUS II,2020,DOST Regional Offices (DOST ROs),ICT,On-going,Region IV-A,RO-MIS,"9,937,959.00"
"Design, fabrication and testing of a thermal drying and roasting system for various agricultural products for MSMEs",2020,Best Agri-Products Processing Cooperative (BAPPCO) and Carbon Cycle Inc.,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-MISAMIS ORIENTAL,"1,200,000.00"
"Design, Fabrication and Testing of Dehusking and Defleshing Equipment for Durian Ice Cream Making",2020,Ammara Ice Cream,Food Processing,On-going,Region X,PSTC-MISAMIS ORIENTAL,"1,200,000.00"
Developing a Coastal Resources & Environment Mapping Protocol: Drone Survey-QGIS-Photogrammetry Application,2021,Mindanao State University at Naawan,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,RO-CONSORTIA,"997,295.00"
Development and Installation of Air Handling System in Wards and COVID Enclosures of the Northern Mindanao Medical Center,2021,Northern Mindanao Medical Center (NMMC),Metals & Engineering,On-going,Region X,RO-CONSORTIA,"4,235,248.00"
Development and Piloting of Onestore,2015,DOST2,Other Regional Industry Priorities,Completed,Region VIII,RO-GIA,"50,000.00"
Development and Provision of Food Safety Services in Eastern Visayas,2011,VSU - Baybay,Other Regional Industry Priorities,Completed,Region VIII,RO-GIA,"70,680.00"
Development and Provision of Food Safety Services in Eastern Visayas,2012,VSU - Baybay,Other Regional Industry Priorities,Completed,Region VIII,RO-GIA,"70,680.00"
Development of HRMIS and e-RMS of DOST VIII,2016,Department of Information and Communication Technology (DICT),ICT,Completed,Region VIII,RO-GIA,"412,117.00"
"Development of Corn-Based Products for Candaba, Pampanga",2017,Pansinao Farmers Multipurpose Cooperative (PFMPC),Food Processing,Completed,Region III,PSTC-PAMPANGA,"527,630.00"
Development of Food Safety Program for Street Food Vendors in the City of San Fernando,2017,"LGU City of San Fernando, Pampanga",Food Processing,Completed,Region III,PSTC-PAMPANGA,"304,289.00"
Development of Poultry Monitoring System,2020,Global Mindanaw Agri-Ventures Corporation,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-MISAMIS ORIENTAL,"897,164.00"
Development of Smart Wireless Cocosap Container,2021,Global Mindanaw Agri-Ventures Corporation,Food Processing,New,Region X,RO-CONSORTIA,"1,523,367.00"
"Dietary Supplementation for Undernourished Children in Binuangan, Misamis Oriental: A CEST Project for Health and Nutrition Enhancement",2019,Local Government Unit of Binuangan,Health & Wellness Products,On-going,Region X,PSTC-MISAMIS ORIENTAL,"432,400.00"
"Disaster Prevention and Mitigation Symposium and IEC Production to Promote Disaster Preparedness in Impasugong, Bukidnon, D-2.",2019,LGU-Impasugong,ICT,On-going,Region X,PSTC-BUKIDNON,"53,050.00"
"Disaster Resiliency through the Provision of Disaster Risk Reduction Equipment in Salay, Misamis Oriental - D1",2018,"LGU-Salay, Misamis Oriental",Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-MISAMIS ORIENTAL,"170,000.00"
DOST 8-EVFIT-SMITE Robotics and Programming Completion and Eastern Visayas ICT Roadshow,2013,DOST8,,Completed,Region VIII,RO-GIA,"100,000.00"
DOST Food Safety Human Resource Development Project,2018,DOST Regional Offices (DOST ROs),Food Processing,Completed,Region IV-A,RO-Project Coordinators,"7,111,426.00"
DOST scholarship Test Review Program for Selected Fourth Year High School Students of Region VIII,2013,Philippine Science High School Eastern Visayas Campus (PSHS-EVC),,Completed,Region VIII,RO-GIA,"250,000.00"
DOST scholarship Test Review Program for Selected Fourth Year High School Students of Region VIII Phase II,2014,Philippine Science High School Eastern Visayas Campus (PSHS-EVC),,Completed,Region VIII,RO-GIA,"486,960.00"
"DOST Technologies for Health and Nutrition Enhancement: A CEST Project in Salay, Misamis Oriental",2018,"LGU-Salay, Misamis Oriental",Health & Wellness Products,On-going,Region X,PSTC-MISAMIS ORIENTAL,"324,620.00"
Effectiveness of 21st Century Learning Environment Model As a Support System to Teaching and Learning of Science and Mathematics,2017,"San Celestino National high School, Bolbok National High School, Inosloban-Marawoy National High School, Pinagtong-ulan Integrated National high School, Lipa City National Science high School",Other Regional Industry Priorities,Completed,Region IV-A,RO-MIS,"12,018,024.00"
Employing Hydroponics and Vegetable Gardening Technologies to alleviate COVID-19 Threats to Food Security in Selected Municipalities in Region IV-A,2020,Angono New Normal Farmers Association,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region IV-A,PSTC-RIZAL,"4,500,000.00"
Empowering GIDA communities from all barangays of Malaybalay City thru the Acquisition of One Unit 1-Ton Capacity Bioreactor Composting Facility: An Ecological Solid Waste Management Option;,2020,LGU-Malaybalay City,Agriculture / Marine / Aquaculture / Forestry / Livestock,New,Region X,PSTC-BUKIDNON,"3,345,300.00"
"Enhancement of Community Health, Nutrition, Education, and Upgrading of Food Processing Facility Projects for CEST Alubijid, Misamis Oriental",2019,"LGU-Alubijid, Misamis Oriental",Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region X,PSTC-MISAMIS ORIENTAL,"665,440.00"
"Enhancement of Marine Protected Area Community Eco-Tourism in Cabuan, Guinsiliban, Camiguin thru Various S&T Interventions",2019,"LGU-Guinsiliban, Camiguin",Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-CAMIGUIN,"531,875.00"
"Enhancement of Overall Product Quality through the Execution of Packaging and Label Design/Materials for the Candle Products of Aguman Kababaihan ng San Simon, Inc. (AKKSI)",2015,"Aguman Kababaihan ng San Simon, Inc. (AKSSI)",Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region III,PSTC-PAMPANGA,"207,408.00"
Enhancement of Product Quality and Shelf-life through the adoption of New Packaging and Development of Improved Label Design for the Soya Products of Samahang Pangkabuhayan ng mga Kababaihan ng Lubao (SPKL),2015,Samahang Pangkabuhayan ng mga Kababaihan ng Lubao,Food Processing,Completed,Region III,PSTC-PAMPANGA,"233,430.00"
"Enhancement of Squash Pancit Canton Product Quality, Shelf life and Production Capability Building through Various Science and Technology Interventions",2017,LGU-Sumilao,Food Processing,Terminated,Region X,PSTC-BUKIDNON,"676,788.00"
"Enhancement of Squash-based Pancit Canton Product Quality, Shelf Life and Production Capability Through Various Science and Technology Interventions",2017,LGU-Sumilao,Other Regional Industry Priorities,Withdrawn,Region X,PSTC-BUKIDNON,"676,788.00"
"Enhancing Community Empowerment Through Science and Technology (CEST) Implementation in the Municipality of Tudela, Misamis Occidental",2017,LGU-Tudela,Other Regional Industry Priorities,Completed,Region X,PSTC-MISAMIS OCCIDENTAL,"551,396.00"
Enhancing Eastern Visayas Capabilities in Information and Communication Technology,2014,NEDA Region VIII,ICT,Completed,Region VIII,RO-GIA,"600,000.00"
Enhancing Eastern Visayas Capabilities in Information and Communication Technology (NEDA),2016,NEDA Region VIII,ICT,Completed,Region VIII,RO-GIA,"570,000.00"
Enhancing Eastern Visayas Capabilities in Information and Communication Technology and Sustaining ISO 9001:2000 QMS,2013,NEDA Region VIII,ICT,Completed,Region VIII,RO-GIA,"700,000.00"
Enhancing Industry Competitiveness through Strengthening the Services of the KSU-Central Science Laboratory,2020,Kalinga State University,Other Regional Industry Priorities,On-going,CAR,PSTC-Kalinga,"1,000,000.00"
Enhancing my.eskwela for Synchronous Classes in the Public Schools during the COVID-19 Pandemic and Beyond,2021,DepEd Division of Iligan City,ICT,On-going,Region X,RO-CONSORTIA,"1,140,741.00"
Enhancing Organic Farming Through Science and Technology for Munting Tahanan ng Nazareth,2014,Munting Tahanan ng Nazareth and Bahay and Bahay Pag-ibig-Home for the Aged,Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region III,PSTC-PAMPANGA,"226,150.00"
Enhancing the Competitiveness of the Eastern Visayas Information and Communication Technology (ICT) Industry,2017,DOST8,ICT,Completed,Region VIII,RO-GIA,"650,000.00"
"Enhancing the Value of Chayote through Product Development, Standardization, Acceptability Study and Technology Transfer",2021,Benguet State University (BSU),Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,CAR,RO-Project Coordinators,"1,804,962.00"
"Environment Protection and Conservation thru Enhancement of Cacao & Lanzones Nursery by Using Various Science &Technology Intervention in Mahinog, Camiguin",2019,"LGU-Mahinog, Camiguin",Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region X,PSTC-CAMIGUIN,"391,000.00"
Establishing Crisis Management Program in the Department of Science & Technology RO VIII,2016,PAGASA-CO,Other Regional Industry Priorities,Completed,Region VIII,RO-GIA,"292,000.00"
Establishing Green Learning Knowledge Center (GLKC) and Green Learning Laboratory (GLL) in PNU Visayas,2017,Philippine Normal University - Visayas,Other Regional Industry Priorities,On-going,Region VI,PSTC-NEGROS OCCIDENTAL,"2,500,000.00"
Establishing of Cacao Processing Facilities and Various S&T Intervention for Barangay 10 Malaybalay City Cacao Growers Agriculture Cooperative to Provide Livelihood Opportunities to Marginalized farmers in Malaybalay City;,2020,LGU-Malaybalay City,Agriculture / Marine / Aquaculture / Forestry / Livestock,New,Region X,PSTC-BUKIDNON,"513,300.00"
Establishment and Operation of a Food Innovation Center (FIC) in Western Visayas,2013,Guimaras State College (GSC),Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region VI,PSTC-GUIMARAS,"4,388,576.00"
"Establishment oEstablishment of Technology Center for Dehydrated Fish Processing in Capoocan, Leyte",2017,Cabul-an Agri-Marine Agrarian Reform Beneficiary Producers Association (CAMARBPA),Food Processing,On-going,Region VIII,PSTC-LEYTE,"1,190,000.00"
Establishment of a 1-Ton Bioreactor and a Plastic Densifier,2015,LGU-Valencia City,Agriculture / Marine / Aquaculture / Forestry / Livestock,Terminated,Region X,PSTC-BUKIDNON,0
Establishment of a 1-Ton Bioreactor and Plastic Wastes Recycling & Re-use: A Solid Waste Management Strategy,2011,LGU-Don Carlos,Other Regional Industry Priorities,Terminated,Region X,PSTC-BUKIDNON,"791,400.00"
Establishment of a Community Based Processing FAcility for the Production of Emergency Food Reserve Powder (EFR) and Root Crops/ Banana Products,2014,LGU-Nueva Valencia,Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region VI,PSTC-GUIMARAS,"536,450.00"
Establishment of a Community-based Lemongrass Essential Oil Extraction Facility,2012,"Alternative Indigenous Development Foundation, Inc. (AIDFI)",Other Regional Industry Priorities,Completed,Region VI,PSTC-NEGROS OCCIDENTAL,0
"Establishment of a Community-Based Project on Fish Processing Facility in Culaba, Biliran",2017,Habuhab United Fishers Association (HUFA),Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region VIII,PSTC-BILIRAN,"2,000,000.00"
"Establishment of a Micro Slaughter, Processing, Storage & Packaging Facilities for Free-Range Chicken",2012,"Negros Island Sustainable Agriculture and Rural Development (NISARD) Foundation, Inc",Agriculture / Marine / Aquaculture / Forestry / Livestock,Completed,Region VI,PSTC-NEGROS OCCIDENTAL,0
"Establishment of Adlai Food Processing Facility to Provide Livelihood to the Malaybalay City Federation of Rural Improvement Club, Malaybalay City, Bukidnon-D2",2020,LGU-Malaybalay City,Agriculture / Marine / Aquaculture / Forestry / Livestock,New,Region X,PSTC-BUKIDNON,"969,710.00"
Establishment of an Internet Kiosk in Camiguin,2002,Camiguin Polytechnic State College,ICT,Completed,Region X,PSTC-CAMIGUIN,"150,000.00"
"Establishment of Balut Production Facility in Li-ong, Guinsiliban, Camiguin",2020,Li-ong Rice Farmers Association,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-CAMIGUIN,"140,400.00"
"Establishment of Bamboo Manufacturing Facility to Improve Productivity and Alleviate Living Conditions of IP Men thru Various S&T Interventions in Impasugong, Bukidnon, D-2",2019,LGU-Impasugong,Furniture,On-going,Region X,PSTC-BUKIDNON,"247,425.00"
"Establishment of Bamboo Nursery in Impasugong National High School using Material Recovery Facility (MRF) to Lessen Bio-waste and Improve Productivity thru Various S&T Interventions in Impasugong, Bukidnon",2018,Impasugong National High School,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-BUKIDNON,"166,800.00"
Establishment of Banana Chips Processing to Improve Productivity and Socio-economic Status of Local Banana Growers through Various S&T interventions in Lantapan,2018,LGU Lantapan,Food Processing,On-going,Region X,PSTC-BUKIDNON,"102,960.00"
"Establishment of Banana Processing Facility thru S&T Intervensions in Iligan City, Lanao del Norte-Lone District",2021,"LGU Iligan, Iligan Agri Rainbow Producers Cooperative",Food Processing,On-going,Region X,PSTC-LANAO DEL NORTE,"631,160.00"
Establishment of Biogas Digester as Alternative Fuel for Food Processing,2012,Jimenez Municipal Economic and Enterprises Development Office (JMEEDO),Food Processing,Terminated,Region X,PSTC-MISAMIS OCCIDENTAL,"175,000.00"
"Establishment of Candle Production Facility- A CEST Livelihood Project for the Solo Parents Organization in Binuangan, Misamis Oriental - D1",2019,"LGU-Binuangan, Misamis Oriental",Other Regional Industry Priorities,On-going,Region X,PSTC-MISAMIS ORIENTAL,"139,675.00"
Establishment of CapSU-DOST Food Innovation Center (FIC),2014,Capiz State University - Dayao Campus,Food Processing,On-going,Region VI,PSTC-CAPIZ,"2,050,000.00"
"Establishment of Carrot Juice processing Facility of LGU-Talakag, Bukidnon",2013,LGU-Talakag,Other Regional Industry Priorities,On-going,Region X,PSTC-BUKIDNON,"468,000.00"
Establishment of Central Mindanao University Food Research and Development Center (CMU-FRDC) in the Province of Bukidnon,2016,Central Mindanao University,Food Processing,Terminated,Region X,PSTC-BUKIDNON,"2,055,996.00"
"Establishment of Citronella Essential Oil Processing Plant of LGU Damulog, Bukidnon",2017,LGU-Damulog,Other Regional Industry Priorities,Terminated,Region X,PSTC-BUKIDNON,"685,000.00"
"Establishment of Coconut Vinegar Processing Facility for the Coconut Farmers of Villaconsuelo, Naval",2018,Villaconsuelo Tree Planters Assoiation (VTPA),Food Processing,Completed,Region VIII,PSTC-BILIRAN,"291,000.00"
