tbl,year,qtr,region_name,prj_id,prj_title,total_volume_production_local,total_volume_production_export,total_gross_sales_local,total_gross_sales_export
ByQtr,2021,"1st Quarter",CALABARZON,411,"Upgrading of Food Production Facility of RGK Food Products",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,414,"Adoption of New technology and Upgrading of Existing Equipment for Broas and Camachile Production of Campville&#039;s Food Industries",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,416,"Acquisition of Appropriate Equipment to Upgrade the Production Capability of JMS Metal Fabrication and Precision Tooling Services",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,418,"Technology Enhancement of the Production Capabilities of Obiena Enterprises Co. by Investing on Modern Production Equipment",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,419,"Improvement of the Production Process of Advent Soy Beanery",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,422,"Printing Technology Upgrade for VR Grafix Autosign in Mabini, Batangas",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,423,"Upgrading of Production Facility of Lecca Sports Wear",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,430,"Acquisition of Appropriate Equipment to Upgrade the Production Facility of CAA Sweets Enterprises",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,431,"Technology Upgrade on Soy Bean Processing Facility of Saludare Food House",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,432,"Upgrading of Production facility of BEZ Trading and Services through Equipment Acquisition",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,435,"Technology Upgrade of Baking Facility of Donappetit Cakes and Pastries",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,436,"Establishment of Food Processing Center of YMCA - San Pablo",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,440,"Upgrading of Milling Process &amp; Spring Production of Springtech Industrial Supply",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,447,"Improvement of Product Quality and Safety of Bread Products of Dan and Thea Bakery through Upgrading of Equipment",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,448,"Modernization of the Production Process of Farmtec Foods, Inc.",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,449,"Enhancing the Production Capacity for Fish Processing of Sophie&#039;s Gourmet",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,494,"Production Process and Product Improvement of RBM Bakeshop",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,495,"Mechanization of Production Processes of Siony&#039;s Pili Tarts and Pastillas",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,498,"Upgrading of Production Facility of G.B. Daza Longanisa Lucban",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,501,"Capability and Capacity Improvement in Abaca Carpet and Rugs Processing Facility through Equipment Upgrade",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,503,"Upgrading of Advertising Material Production Facility of Harugrafiko Printing Services",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,504,"Automation of Lathing Process of New Sun Machine Shop Engineering Services and Supplies",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,509,"Upgrading of Production Capability of Binthau Bakeshop through Acquisition of New Equipment",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,510,"Upgrading of Brewery Processes of Santiago Craft Brewery Inc. in Antipolo City, Rizal",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,521,"IMPROVEMENT OF PRODUCTION EFFICIENCY, PRODUCT QUALITY AND SAFETY OF COMPLEMENTARY FOODS PRODUCED BY LGU-MULANAY",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,522,"UPGRADING THE PRODUCTION PROCESS AND PRODUCTS OF SILI GROWERS ASSOCIATION",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,524,"Establishment of Drying Facility for the Local Government Unit of Panukulan",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,525,"Improvement of the Grinding Process of Joemix (Rice-Monggo-Sesame Complementary Food)",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,530,"Upgrading the Retort Process Technology of Reyson&#039;s Food Processing",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,567,"Upgrading of production and improvement of product quality of NMC Food Concept in Antipolo City Through Technology Intervention",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,568,"Improvement of PRoduction Capacity of Delfa&#039;s Food Products, Inc.",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,569,"Product Upgrading of Blessfood Enterprises in Antipolo City Through Technology Interventions",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,603,"Upscaling of Vermicast Production thru the provision of Hammel Mill &amp; Vermi- Harvester",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,606,"Installation of CNC Plasmacam Cutting Machine for Fabrication of GMG Powder Coating Inc. in Angono, Rizal",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,613,"CAPACITY UPGRADING OF DOUGHPRO MANUFACTURING &amp; TRADING CORP.",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,614,"TECHNOLOGY UPGRADING AND CAPACITY IMPROVEMENT OF CLAMP OP",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,615,"Upgrading of Production Capability of Anica&#039;s Home Bread Store Through Equipment Acquisition in Rodriguez, Rizal",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,617,"AUGMENTING PRODUCTION PROCESS OF MAGIFRANCE BAKESHOP THROUGH MECHANIZATION",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,618,"Productivity Upgrading of Rags and Pillow Case for Pinagsamang Lakas ng Angel Ville Association",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,627,"UPGRADING OF PRODUCTION FACILITY OF PECTO’S  BAKERY",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,630,"ENHANCEMENT OF THE PRODUCTION OF YEMA, PASTILLAS, AND TAMARIND CANDIES FOR PAULA&#039;S CANDIES STORE",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,632,"ADOPTION OF DOST-FNRI TECHNOLOGY ON TUBIG TALINO (IODINE-RICH DRINKING WATER AND “WATER PLUS + I2”) FOR CBL BLUEWATERS WATER REFILLING STATION",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,633,"Liquid Chemicals Mixing Process Enhancement for Taliba Soap Manufacturing",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,636,"Upgrading of Production Capability of GNG Bakery through Acquisition of New Equipment",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,639,"FARM TECHNOLOGY IMPROVEMENT THROUGH BIOGAS FACILITY ESTABLISHMENT AS AN APPROACH TO EFFECTIVE WASTE TREATMENT AND UTILIZATION OF RENEWABLE ENERGY SOURCE FOR GLERERLYN POULTRY AND LIVESTOCK FARM",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,644,"Productivity and Capacity Improvement of S2 Comtech Co. through Equipment Upgrading",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,648,"IMPROVEMENT OF THE PRODUCTION FACILITY, PRODUCT QUALITY AND SAFETY OF JOMALIG FOOD PROCESSORS ASSOCIATION",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,651,"Establishment of Mushroom Noodle Processing Facility of Baliksaka Farmers Association Inc. (BFAI)",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,655,"ESTABLISHMENT OF A FISH PROCESSING FACILITY IN THE MUNICIPALITY OF GUINAYANGAN",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,657,"ENHANCEMENT OF PROCESS AND PRODUCT QUALITY OF DRIED FISH OF GUINAYGAYAN ASSOCIATION OF DRIED FISH PROCESSORS",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,658,"Upgrading of the Production Facility of Original Abaksa Bakery",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,659,"Value-adding Solution and Upgrading of the Mixing Process in Substrate Preparation of 3G Country Farms in Nasugbu, Batangas",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,661,"Upgrading the Machining Capability through Adoption of CNC Lathe Machine",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,666,"ESTABLISHMENT OF LIQUID &amp; SOLID ORGANIC FERTILIZER PRODUCTION FACILITY FOR BARANGAY BUROL ORGANIC CROPS &amp; ORGANIC INPUT PRODUCERS ORGANIZATION",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,672,"UPGRADING THE SEAMING AND EXPELLING PROCESS IN THE PRODUCTION OF COCO PRODUCTS OF NQDPI",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,712,"Upgrading the Milling Process of Lark Seimitsu Enterprise",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,733,"IMPROVEMENT OF PROCESS AND QUALITY OF CASSAVA FLAKES/ CRACKERS AND BANANA CHIPS OF SAMAHAN NG KABABAIHAN NG ALABAT PARA SA PANGKABUHAYAN (SANGKAP)",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,735,"IMPROVEMENT OF PRODUCTION EFFICIENCY AND PRODUCT QUALITY OF PAVINO&#039;S BAKERY",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,736,"IMPROVEMENT OF TAILORING OPERATION OF RAYMOND TAILORING",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,744,"Product And Process Upgrade Through Technology Application In Pastillas And Yema Processing Line Of Magpantay Home Made Candy",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,751,"Upgrading the Siomai Production of Sushimaster Sushi Bar in San Mateo, Rizal Through Acquisition of Equipment",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,756,"UPGRADING THE PEANUT BUTTER PROCESSING FACILITY OF YAKAP AT HALIK MPC BATANGAS 1 IN CALATAGAN, BATANGAS THROUGH EQUIPMENT ACQUISITION",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,757,"EQUIPMENT ACQUISITION FOR THE MUSHROOM PROCESSING FACILITY OF FARMWAIZ FAMILY FOR LIFE AGRICULTURE COOPERATIVE IN ALITAGTAG, BATANGAS",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,759,"Upgrading the Production Capability of YFC Enterprises through Acquisition of Equipment",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,760,"Upgrading of Fermentation Process through Equipment Acquisition of the Blackwhite Craft Brewery in Mabini, Batangas",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,762,"Adoption of Solar Power System in Poultry Farming of Asian Golden PHL. INC.",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,767,"PRODUCT AND PROCESS IMPROVEMENT OF CACAO PROCESSING OF KIDLAT",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,769,"Upgrading of the Production facility of Herva Enterprises",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,770,"ENHANCEMENT OF PRODUCT QUALITY OF PROCESSED  PINEAPPLE OF THE SAMAHAN NG MAGSASAKA NG NIEVA",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,771,"Automation of Milling Process of Raitech Industrial Supply and General Services",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,772,"Adoption of DOST-FNRI’s Tubig Talino “Ïodine Fortified Water” of Local Government of Carmona as Community-Based Livelihood Opportunities for Members of Buhay Autismo Inc.",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,773,"ESTABLISHMENT OF TAILORING FACILITY, A COMMUNITY-BASED LIVELIHOOD OPPORTUNITIES FOR MEMBERS OF TRAKTORA DAMAYAN MULTI-PURPOSE COOPERATIVE",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,774,"CAPACITY IMPROVEMENT OF THE PROJECT: PILOT TESTING THE DEPURATION FACILITY AND ITS MANAGEMENT PLAN IN BACOOR CITY",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,775,"ADOPTION OF DOST FNRI’S TUBIG TALINO “IODINE FORTIFIED WATER” AND UPGRADING OF WATER PURIFICATION FACILITY OF SOLOMON MULTI-PURPOSE COOPERATIVE (SMPC)",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,776,"RE- ENFORCING FISH PROCESSING FACILITY OF CAFISOMACO THRU THE PROVISION OF COMMERCIAL   STEAMER",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,781,"“PRODUCTIVITY EXPANSION THROUGH TECHNOLOGY UPGRADE AND PROCESS IMPROVEMENT OF SORTIDOS, CAKES, COOKIES, AND ASSORTED BISCUITS LINES OF PANADERIA PANTOJA INC. IN TANAUAN CITY, BATANGAS”",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,785,"PRODUCT AND PROCESS IMPROVEMENT OF TAYSAN MOVEMENT FOR PEACE, PROGRESS AND CHANGES (TMPPC) GINGER PROCESSING FACILITY IN TAYSAN, BATANGAS",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,786,"UPGRADING OF BULSA MPC PRODUCTION FACILITY THROUGH EQUIPMENT ACQUISITION",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,788,"UPGRADING THE CAPABILITY OF THE COFFEE PROCESSING FACILITY OF AGA FARMERS MULTI-PURPOSE COOPERATIVE (AGFAMCO) IN NASUGBU, BATANGAS",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,789,"Upgrading of Sublimation Printing of RJCJ Enterprise in Antipolo City",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,790,"Technology Upgrade of Pinagbayanan MPC through Equipment Acquisition",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,791,"Modernization of Packaging Process of AC Innov8 Manufacturing Co. through Upgrading of Equipment",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,797,"PRODUCT UPGRADE OF KASAMA HALAL PRODUCERS COOPERATIVE (KHPC) THROUGH LABORATORY TESTING AND EQUIPMENT ACQUISITION",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,799,"Productivity Improvement of Shearing and Bending Processes of De Castro Industrial Sales &amp; Services",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,801,"Mechanization of the Production Process of TR Santi Enterprises",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,803,"PRODUCTION IMPROVEMENT OF SMMC THROUGH EQUIPMENT UPGRADING",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,805,"IMPROVING THE PRODUCTION CAPABILITY OF ADHIKA PRODUCERS COOPERATIVE THROUGH EQUIPMENT ACQUISITION ON THE UTILIZATION OF FLY AND BOTTOM ASH WASTES FOR HOLLOW BLOCKS MAKING",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,806,"TECHNOLOGY UPGRADING OF CUTTING CAPABILITY OF SOUTH TOOLS TRADING AND SERVICES",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,807,"Increasing the Production Capacity of Tripe Z Industrial Sales Corp. in Cainta, Rizal through Acquisition of Equipment",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,842,"Establishment of Fish Processing Facility in The Municipality of Perez",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,891,"EQUIPMENT ACQUISITION FOR PEANUT PROCESSING FACILITY FOR CARRETONAN MULTI-PURPOSE COOPERATIVE (CMPC) IN CALATAGAN, BATANGAS",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,896,"Improvement of Production Facility and Product Quality of Joshua&#039;s Bread House through Acquisition of Bakery Equipment",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,899,"Upgrading of Cashew Spread Production of Pidiong&#039;s House of Cashew Nuts Through Acquisition of New Equipment",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,902,"Technology Upgrade of Metal Fabrication of Twin Tech Engineering in Lipa City, Batangas through Equipment Acquisition",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,904,"UPGRADING OF THE PRODUCTION PROCESS AND PRODUCT DEVELOPMENT OF C AND H COSMETIC INDUSTRY",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,905,"TECHNOLOGY UPGRADING FOR PRODUCT DEVELOPMENT OF HONEYBEE MULTI-PURPOSE COOPERATIVE IN BALETE, BATANGAS THROUGH EQUIPMENT ACQUISITION",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,906,"Upgrading of the Nipanog Production of Binonoan Producers&#039; Cooperative",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,908,"Increasing the Production Capability of Biba Cakes and Pastries Shop Through Acquisition of New Equipment",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,911,"Upgrading of Production Capability of Ma. Kime Shoes &amp; Slippers Through Acquisition of New Equipment in Cainta, Rizal",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,912,"ESTABLISHMENT OF BUFFALO MILK PRODUCTION FACILITY IN THE MUNICIPALITY OF QUEZON",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,914,"UPRADING OF SALT-DRYING PROCESS AND ESTABLISHMENT OF QUALITY STANDARDS FOR SALT PRODUCTION OF CARIDAD ILAYA MULTIPURPOSE COOPERATIVE (CIMPC)",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,915,"PRODUCTION IMPROVEMENT OF TABLEA AND CHOCOLATE PROCESSING FOR CACAO GROWERS ASSOCIATION OF SAN ANTONIO QUEZON INC",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,916,"UPGRADING OF TURMERIC POWDER PRODUCTION OF MAMALAHIN 2 RURAL IMPROVEMENT CLUB (MAMARIC)",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,917,"UPGRADING OF CANDLE PROCESSING FACILITY OF 3 KING&#039;S ENTERPRISE AT ROSARIO, BATANGAS",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,919,"INSTALLATION OF MIXING TANKS TO ENHANCE THE SHELF LIFE AND MARKETABILITY OF EGG PRODUCTS",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,921,"ESTABLISHMENT AND DEVELOPMENT OF A NATIVE BEE FARM FOR DUMAGAT IN MAUBAN QUEZON",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,931,"Upgrading the Production Capability of JMP Trading though Adoption of Baling Machine",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,932,"Enhancement of Machining Capability of JTEC Machine Shop through the adoption of Vertical Drilling and Tapping Center",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,934,"ADOPTION OF SOLAR POWER SYSTEM IN THE POULTRY FARMING OF ROSY CHICKS FARM",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,935,"PRODUCTIVITY ENHANCEMENT THROUGH TECHNOLOGY UPGRADE AND PROCESS IMPROVEMENT OF DAIRY PRODUCTS OF THE ROSARIO LIVESTOCK AND AGRICULTURE FARMING COOPERATIVE (TRLAFCO) IN ROSARIO, BATANGAS",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,936,"TECHNOLOGY UPGRADE AND PROCESS IMPROVEMENT OF PHP NOODLE HAUS IN BRGY. TALIBA, SAN LUIS, BATANGAS",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,947,"Food Laboratory Improvement of Cavite State University- CCAT (Rosario Campus)",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,948,"Establishment of State-of-the Art Fruit and Vegetable Processing Service Facility (FVPSF)",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,951,"ADOPTING ITDI TECHNOLOGY IN THE PRODUCTION OF CALAMANSI RTD JUICE DRINKS AND CONCENTRATES AS HEALTHIER OPTION TO HIGHLY COMMERCIALIZED SODAS",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,954,"ADOPTION OF DOST-ITDI’S PORTABLE BIOGAS DIGESTER OF LGU NOVELETA",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,955,"EMPOWERING CACAO FARMERS OF NAGCARLAN ON UTILIZING CACAO PODS AND OTHER AGRICULTURAL WASTES",0.000,0.000,0.000,0.000
ByQtr,2021,"1st Quarter",CALABARZON,956,"ESTABLISHMENT OF PROCESSING FACILITY FOR THE PRODUCTION OF (FFAA) FERMENTED FISH AMINO ACID USING CARNIVOROUS KNIFE FISH",0.000,0.000,0.000,0.000
