tbl,year,qtr,region_name,prj_id,prj_title,ave_prod,ave_prod_change
ByQtr,2021,1,CALABARZON,959,"ADOPTION OF DOST-FNRI’S IRON FORTIFIED RICE TECHNOLOGY OF PALANGUE AGRARIAN REFORM COOPERATIVE",1,NULL
ByQtr,2021,2,CALABARZON,389,"MECHANIZATION OF THE PRODUCTION PROCESSES AND GMP IMPLEMENTATION OF GINGA AGRIFOOD MANUFACTURING ENTERPRISES, INC.â€",4,0.0000
ByQtr,2021,2,CALABARZON,663,"ORGANIC FERTILIZER PRODUCTION FACILITY UPGRADING OF YAKAP AT HALIK MULTI-PURPOSE COOPERATIVE (YHMPC)",233,NULL
ByQtr,2021,4,CALABARZON,414,"Adoption of New technology and Upgrading of Existing Equipment for Broas and Camachile Production of Campville&#039;s Food Industries",515,NULL
ByQtr,2021,1,CALABARZON,345,"Enhancing the Production Capability of Sweet Solutions  Bakeshop thru Acquisition of Modern Baking Equipment",50,NULL
ByQtr,2021,2,CALABARZON,617,"AUGMENTING PRODUCTION PROCESS OF MAGIFRANCE BAKESHOP THROUGH MECHANIZATION",3000,0.0000
ByQtr,2021,1,CALABARZON,43,"Enhancing Capability of VN Industrial Tooling Services through Upgrading the Shearing and Bending Processes",1,NULL
ByQtr,2021,1,CALABARZON,432,"Upgrading of Production facility of BEZ Trading and Services through Equipment Acquisition",100,NULL
ByQtr,2021,2,CALABARZON,350,"Upgrading of the Production Process of Teng&#039;s Cakes and Pastries",-1,0.0000
ByQtr,2021,1,CALABARZON,498,"Upgrading of Production Facility of G.B. Daza Longanisa Lucban",80,NULL
ByQtr,2021,2,CALABARZON,921,"ESTABLISHMENT AND DEVELOPMENT OF A NATIVE BEE FARM FOR DUMAGAT IN MAUBAN QUEZON",1,0.0000
ByQtr,2021,1,CALABARZON,805,"IMPROVING THE PRODUCTION CAPABILITY OF ADHIKA PRODUCERS COOPERATIVE THROUGH EQUIPMENT ACQUISITION ON THE UTILIZATION OF FLY AND BOTTOM ASH WASTES FOR HOLLOW BLOCKS MAKING",31,NULL
ByQtr,2021,1,CALABARZON,934,"ADOPTION OF SOLAR POWER SYSTEM IN THE POULTRY FARMING OF ROSY CHICKS FARM",1,NULL
ByQtr,2021,2,CALABARZON,891,"EQUIPMENT ACQUISITION FOR PEANUT PROCESSING FACILITY FOR CARRETONAN MULTI-PURPOSE COOPERATIVE (CMPC) IN CALATAGAN, BATANGAS",1,0.0000
ByQtr,2021,1,CALABARZON,905,"TECHNOLOGY UPGRADING FOR PRODUCT DEVELOPMENT OF HONEYBEE MULTI-PURPOSE COOPERATIVE IN BALETE, BATANGAS THROUGH EQUIPMENT ACQUISITION",1,NULL
ByQtr,2021,1,CALABARZON,241,"Upgrading of Heat Treatment and milling of elf Precision Tooling Services",10,NULL
ByQtr,2021,2,CALABARZON,660,"ESTABLISHMENT OF FOOD PROCESSING FACILITY, A COMMUNITY-BASED LIVELIHOOD OPPORTUNITIES FOR MEMBERS OF BUKLURAN MULTI-PURPOSE COOPERATIVE AMADEO-EXTENSION",1,NULL
ByQtr,2021,2,CALABARZON,422,"Printing Technology Upgrade for VR Grafix Autosign in Mabini, Batangas",100,0.0000
ByQtr,2021,1,CALABARZON,353,"Printing Production and Quality Improvement fro Printerest Design Studio",69,NULL
ByQtr,2021,2,CALABARZON,411,"Upgrading of Food Production Facility of RGK Food Products",8,0.0000
ByQtr,2021,1,CALABARZON,773,"ESTABLISHMENT OF TAILORING FACILITY, A COMMUNITY-BASED LIVELIHOOD OPPORTUNITIES FOR MEMBERS OF TRAKTORA DAMAYAN MULTI-PURPOSE COOPERATIVE",29,NULL
ByQtr,2021,1,CALABARZON,436,"Establishment of Food Processing Center of YMCA - San Pablo",1,NULL
ByQtr,2021,1,CALABARZON,781,"“PRODUCTIVITY EXPANSION THROUGH TECHNOLOGY UPGRADE AND PROCESS IMPROVEMENT OF SORTIDOS, CAKES, COOKIES, AND ASSORTED BISCUITS LINES OF PANADERIA PANTOJA INC. IN TANAUAN CITY, BATANGAS”",20,NULL
ByQtr,2021,2,CALABARZON,657,"ENHANCEMENT OF PROCESS AND PRODUCT QUALITY OF DRIED FISH OF GUINAYGAYAN ASSOCIATION OF DRIED FISH PROCESSORS",0,-1.0000
ByQtr,2021,1,CALABARZON,751,"Upgrading the Siomai Production of Sushimaster Sushi Bar in San Mateo, Rizal Through Acquisition of Equipment",1,NULL
ByQtr,2021,2,CALABARZON,914,"UPRADING OF SALT-DRYING PROCESS AND ESTABLISHMENT OF QUALITY STANDARDS FOR SALT PRODUCTION OF CARIDAD ILAYA MULTIPURPOSE COOPERATIVE (CIMPC)",1,0.0000
ByQtr,2021,2,CALABARZON,903,"Upgrading of Printing Technology of Isabelle Concept and Prints through Acquisition of New Equipment",1,NULL
ByQtr,2021,1,CALABARZON,603,"Upscaling of Vermicast Production thru the provision of Hammel Mill &amp; Vermi- Harvester",1,NULL
ByQtr,2021,1,CALABARZON,661,"Upgrading the Machining Capability through Adoption of CNC Lathe Machine",1,NULL
ByQtr,2021,2,CALABARZON,788,"UPGRADING THE CAPABILITY OF THE COFFEE PROCESSING FACILITY OF AGA FARMERS MULTI-PURPOSE COOPERATIVE (AGFAMCO) IN NASUGBU, BATANGAS",125,0.6892
ByQtr,2021,1,CALABARZON,615,"Upgrading of Production Capability of Anica&#039;s Home Bread Store Through Equipment Acquisition in Rodriguez, Rizal",61,NULL
ByQtr,2021,1,CALABARZON,449,"Enhancing the Production Capacity for Fish Processing of Sophie&#039;s Gourmet",5,NULL
ByQtr,2021,1,CALABARZON,501,"Capability and Capacity Improvement in Abaca Carpet and Rugs Processing Facility through Equipment Upgrade",1,NULL
ByQtr,2021,2,CALABARZON,781,"“PRODUCTIVITY EXPANSION THROUGH TECHNOLOGY UPGRADE AND PROCESS IMPROVEMENT OF SORTIDOS, CAKES, COOKIES, AND ASSORTED BISCUITS LINES OF PANADERIA PANTOJA INC. IN TANAUAN CITY, BATANGAS”",20,0.0000
ByQtr,2021,1,CALABARZON,363,"ACQUISITION OF APPROPRIATE EQUIPMENT TO UPGRADE MARVON DRYING SERVICES PRODUCTION FACILITY",50,NULL
ByQtr,2021,2,CALABARZON,430,"Acquisition of Appropriate Equipment to Upgrade the Production Facility of CAA Sweets Enterprises",100,0.0000
ByQtr,2021,2,CALABARZON,656,"Tablea (Chocolate Tablet) Production Facility Improvement as Community-Based Livelihood Opportunities for members of Alfonso Tablea (Chocolate) Producers Cooperative (ATPC)",33,NULL
ByQtr,2021,1,CALABARZON,418,"Technology Enhancement of the Production Capabilities of Obiena Enterprises Co. by Investing on Modern Production Equipment",50,NULL
ByQtr,2021,2,CALABARZON,987,"Upgrading of Sheet Metal Cutting Capabilities of Aijun Enterprises Inc. Through the Adoption of CNC Plasma Cutting Technology",0,NULL
ByQtr,2021,1,CALABARZON,279,"Enhancing Technical Capability of Mariñas Technologies, Inc. in the Commercialization of MRF (Material Recovery Facility) through the Provision of CNC Horizontal Lathe Machine",10,NULL
ByQtr,2021,1,CALABARZON,357,"Adoption of New Technology and Upgrading of Existing Equipment for Donut Production of MJ and PJ Bakeshop",-10,NULL
ByQtr,2021,2,CALABARZON,969,"Establishment of Fish Sauce and Fish Paste Processing Facility in the Municipality of Real",-1,0.0000
ByQtr,2021,1,CALABARZON,568,"Improvement of PRoduction Capacity of Delfa&#039;s Food Products, Inc.",30,NULL
ByQtr,2021,1,CALABARZON,639,"FARM TECHNOLOGY IMPROVEMENT THROUGH BIOGAS FACILITY ESTABLISHMENT AS AN APPROACH TO EFFECTIVE WASTE TREATMENT AND UTILIZATION OF RENEWABLE ENERGY SOURCE FOR GLERERLYN POULTRY AND LIVESTOCK FARM",100,NULL
ByQtr,2021,2,CALABARZON,614,"TECHNOLOGY UPGRADING AND CAPACITY IMPROVEMENT OF CLAMP OP",1,0.0000
ByQtr,2021,2,CALABARZON,757,"EQUIPMENT ACQUISITION FOR THE MUSHROOM PROCESSING FACILITY OF FARMWAIZ FAMILY FOR LIFE AGRICULTURE COOPERATIVE IN ALITAGTAG, BATANGAS",1,0.0000
ByQtr,2021,1,CALABARZON,510,"Upgrading of Brewery Processes of Santiago Craft Brewery Inc. in Antipolo City, Rizal",1,NULL
ByQtr,2021,1,CALABARZON,569,"Product Upgrading of Blessfood Enterprises in Antipolo City Through Technology Interventions",16,NULL
ByQtr,2021,1,CALABARZON,648,"IMPROVEMENT OF THE PRODUCTION FACILITY, PRODUCT QUALITY AND SAFETY OF JOMALIG FOOD PROCESSORS ASSOCIATION",-1,NULL
ByQtr,2021,2,CALABARZON,648,"IMPROVEMENT OF THE PRODUCTION FACILITY, PRODUCT QUALITY AND SAFETY OF JOMALIG FOOD PROCESSORS ASSOCIATION",100,-101.0000
ByQtr,2021,1,CALABARZON,759,"Upgrading the Production Capability of YFC Enterprises through Acquisition of Equipment",-90,NULL
ByQtr,2021,2,CALABARZON,494,"Production Process and Product Improvement of RBM Bakeshop",76,0.0000
ByQtr,2021,1,CALABARZON,419,"Improvement of the Production Process of Advent Soy Beanery",30,NULL
ByQtr,2021,2,CALABARZON,756,"UPGRADING THE PEANUT BUTTER PROCESSING FACILITY OF YAKAP AT HALIK MPC BATANGAS 1 IN CALATAGAN, BATANGAS THROUGH EQUIPMENT ACQUISITION",-30,0.0000
ByQtr,2021,1,CALABARZON,785,"PRODUCT AND PROCESS IMPROVEMENT OF TAYSAN MOVEMENT FOR PEACE, PROGRESS AND CHANGES (TMPPC) GINGER PROCESSING FACILITY IN TAYSAN, BATANGAS",1,NULL
ByQtr,2021,1,CALABARZON,769,"Upgrading of the Production facility of Herva Enterprises",10,NULL
ByQtr,2021,1,CALABARZON,277,"Improvement of Street- Food Vending as Community- Based Livelihood opportunities for Vendors of the Local Government Unit (LGU) of Bacoor",1,NULL
ByQtr,2021,2,CALABARZON,353,"Printing Production and Quality Improvement fro Printerest Design Studio",0,-1.0000
ByQtr,2021,1,CALABARZON,271,"Upgrading of the Production Process of Golden J Siopao",1,NULL
ByQtr,2021,2,CALABARZON,842,"Establishment of Fish Processing Facility in The Municipality of Perez",-1,0.0000
ByQtr,2021,4,CALABARZON,916,"UPGRADING OF TURMERIC POWDER PRODUCTION OF MAMALAHIN 2 RURAL IMPROVEMENT CLUB (MAMARIC)",1,NULL
ByQtr,2021,2,CALABARZON,57,"Pickles and Peanut Butter Production Improvement through Equipment Upgrading of Theo-Filo&#039;s Food Products",0,NULL
ByQtr,2021,4,CALABARZON,499,"Upgrading of Bread and Biscuit Production Facility of Sabuhin Bakery",1,NULL
ByQtr,2021,1,CALABARZON,627,"UPGRADING OF PRODUCTION FACILITY OF PECTO’S  BAKERY",48,NULL
ByQtr,2021,2,CALABARZON,971,"Enhancement of Quality Complementary Food Products through Acquisition of Appropriate Packaging Material",1,0.0000
ByQtr,2021,1,CALABARZON,325,"Upgrading of Rice Milling Process of Aspilla Rice Mill in Pililla, Rizal",38,NULL
ByQtr,2021,1,CALABARZON,440,"Upgrading of Milling Process &amp; Spring Production of Springtech Industrial Supply",10,NULL
ByQtr,2021,1,CALABARZON,521,"IMPROVEMENT OF PRODUCTION EFFICIENCY, PRODUCT QUALITY AND SAFETY OF COMPLEMENTARY FOODS PRODUCED BY LGU-MULANAY",1,NULL
ByQtr,2021,2,CALABARZON,521,"IMPROVEMENT OF PRODUCTION EFFICIENCY, PRODUCT QUALITY AND SAFETY OF COMPLEMENTARY FOODS PRODUCED BY LGU-MULANAY",1,0.0000
ByQtr,2021,1,CALABARZON,435,"Technology Upgrade of Baking Facility of Donappetit Cakes and Pastries",50,NULL
ByQtr,2021,2,CALABARZON,347,"Production Efficiency Improvement of Pancit Lucban for Racelis Miki Factory",32,-0.5789
ByQtr,2021,1,CALABARZON,655,"ESTABLISHMENT OF A FISH PROCESSING FACILITY IN THE MUNICIPALITY OF GUINAYANGAN",-1,NULL
ByQtr,2021,1,CALABARZON,917,"UPGRADING OF CANDLE PROCESSING FACILITY OF 3 KING&#039;S ENTERPRISE AT ROSARIO, BATANGAS",0,NULL
ByQtr,2021,2,CALABARZON,790,"Technology Upgrade of Pinagbayanan MPC through Equipment Acquisition",-80,0.0000
ByQtr,2021,1,CALABARZON,908,"Increasing the Production Capability of Biba Cakes and Pastries Shop Through Acquisition of New Equipment",30,NULL
ByQtr,2021,1,CALABARZON,955,"EMPOWERING CACAO FARMERS OF NAGCARLAN ON UTILIZING CACAO PODS AND OTHER AGRICULTURAL WASTES",1,NULL
ByQtr,2021,1,CALABARZON,948,"Establishment of State-of-the Art Fruit and Vegetable Processing Service Facility (FVPSF)",1,NULL
ByQtr,2021,1,CALABARZON,970,"Improvement of Product Quality of Milled Rice through Equipment Upgrading of Ramsland Rice Mill",1,NULL
ByQtr,2021,2,CALABARZON,936,"TECHNOLOGY UPGRADE AND PROCESS IMPROVEMENT OF PHP NOODLE HAUS IN BRGY. TALIBA, SAN LUIS, BATANGAS",1,0.0000
ByQtr,2021,2,CALABARZON,382,"Strengthening the Production Capability and Marketing Potential of Dolly&#039;s Banana Chips",25,0.0000
ByQtr,2021,1,CALABARZON,736,"IMPROVEMENT OF TAILORING OPERATION OF RAYMOND TAILORING",100,NULL
ByQtr,2021,2,CALABARZON,632,"ADOPTION OF DOST-FNRI TECHNOLOGY ON TUBIG TALINO (IODINE-RICH DRINKING WATER AND “WATER PLUS + I2”) FOR CBL BLUEWATERS WATER REFILLING STATION",-1,0.0000
ByQtr,2021,1,CALABARZON,658,"Upgrading of the Production Facility of Original Abaksa Bakery",80,NULL
ByQtr,2021,2,CALABARZON,735,"IMPROVEMENT OF PRODUCTION EFFICIENCY AND PRODUCT QUALITY OF PAVINO&#039;S BAKERY",11,0.8333
ByQtr,2021,1,CALABARZON,968,"UPGRADING OF SISIG PRODUCTION THROUGH  MECHANIZATION OF PROCESSES FOR TONIO’S SISIG",-1,NULL
ByQtr,2021,1,CALABARZON,309,"Development of Production Capability and Capacity of Gordola Food Enterprise through Product Quality Analysis and Equipment Acquisition",0,NULL
ByQtr,2021,2,CALABARZON,771,"Automation of Milling Process of Raitech Industrial Supply and General Services",10,0.0000
ByQtr,2021,1,CALABARZON,971,"Enhancement of Quality Complementary Food Products through Acquisition of Appropriate Packaging Material",1,NULL
ByQtr,2021,1,CALABARZON,797,"PRODUCT UPGRADE OF KASAMA HALAL PRODUCERS COOPERATIVE (KHPC) THROUGH LABORATORY TESTING AND EQUIPMENT ACQUISITION",1,NULL
ByQtr,2021,1,CALABARZON,954,"ADOPTION OF DOST-ITDI’S PORTABLE BIOGAS DIGESTER OF LGU NOVELETA",1,NULL
ByQtr,2021,2,CALABARZON,416,"Acquisition of Appropriate Equipment to Upgrade the Production Capability of JMS Metal Fabrication and Precision Tooling Services",100,0.0000
ByQtr,2021,1,CALABARZON,657,"ENHANCEMENT OF PROCESS AND PRODUCT QUALITY OF DRIED FISH OF GUINAYGAYAN ASSOCIATION OF DRIED FISH PROCESSORS",1,NULL
ByQtr,2021,1,CALABARZON,915,"PRODUCTION IMPROVEMENT OF TABLEA AND CHOCOLATE PROCESSING FOR CACAO GROWERS ASSOCIATION OF SAN ANTONIO QUEZON INC",1,NULL
ByQtr,2021,2,CALABARZON,957,"RECYCLING OF PLASTIC WASTES FOR BY-PRODUCT EXCHANGE WITH REPUBLIC CEMENT IN TAYSAN, BATANGAS AND HOLLOW BLOCK PRODUCTION AND USE OF BIODEGRADABLE WASTE FOR BIOGAS PRODUCTION",1,NULL
ByQtr,2021,2,CALABARZON,997,"Project AETAguyod: Establishment of an S&amp;T-based Community Livelihood for Aetas in San Luis, Batangas",1,0.0000
ByQtr,2021,1,CALABARZON,799,"Productivity Improvement of Shearing and Bending Processes of De Castro Industrial Sales &amp; Services",5,NULL
ByQtr,2021,1,CALABARZON,790,"Technology Upgrade of Pinagbayanan MPC through Equipment Acquisition",-80,NULL
ByQtr,2021,2,CALABARZON,351,"Upgrading of Existing Equipment fro Roasted Corn Powder Production of Adelet&#039;s Food Products",-1,0.0000
ByQtr,2021,1,CALABARZON,414,"Adoption of New technology and Upgrading of Existing Equipment for Broas and Camachile Production of Campville&#039;s Food Industries",39,NULL
ByQtr,2021,2,CALABARZON,916,"UPGRADING OF TURMERIC POWDER PRODUCTION OF MAMALAHIN 2 RURAL IMPROVEMENT CLUB (MAMARIC)",1,0.0000
ByQtr,2021,1,CALABARZON,756,"UPGRADING THE PEANUT BUTTER PROCESSING FACILITY OF YAKAP AT HALIK MPC BATANGAS 1 IN CALATAGAN, BATANGAS THROUGH EQUIPMENT ACQUISITION",-30,NULL
ByQtr,2021,1,CALABARZON,931,"Upgrading the Production Capability of JMP Trading though Adoption of Baling Machine",30,NULL
ByQtr,2021,2,CALABARZON,955,"EMPOWERING CACAO FARMERS OF NAGCARLAN ON UTILIZING CACAO PODS AND OTHER AGRICULTURAL WASTES",1,0.0000
ByQtr,2021,1,CALABARZON,789,"Upgrading of Sublimation Printing of RJCJ Enterprise in Antipolo City",5,NULL
ByQtr,2021,1,CALABARZON,788,"UPGRADING THE CAPABILITY OF THE COFFEE PROCESSING FACILITY OF AGA FARMERS MULTI-PURPOSE COOPERATIVE (AGFAMCO) IN NASUGBU, BATANGAS",74,NULL
ByQtr,2021,1,CALABARZON,775,"ADOPTION OF DOST FNRI’S TUBIG TALINO “IODINE FORTIFIED WATER” AND UPGRADING OF WATER PURIFICATION FACILITY OF SOLOMON MULTI-PURPOSE COOPERATIVE (SMPC)",1,NULL
ByQtr,2021,2,CALABARZON,503,"Upgrading of Advertising Material Production Facility of Harugrafiko Printing Services",-100,0.0000
ByQtr,2021,1,CALABARZON,767,"PRODUCT AND PROCESS IMPROVEMENT OF CACAO PROCESSING OF KIDLAT",238,NULL
ByQtr,2021,2,CALABARZON,347,"Production Efficiency Improvement of Pancit Lucban for Racelis Miki Factory",32,-0.5789
ByQtr,2021,1,CALABARZON,366,"Bottling Process Improvement in Barako Coffee and Native White Ginger Liqueur Production",20,NULL
ByQtr,2021,1,CALABARZON,904,"UPGRADING OF THE PRODUCTION PROCESS AND PRODUCT DEVELOPMENT OF C AND H COSMETIC INDUSTRY",1,NULL
ByQtr,2021,2,CALABARZON,915,"PRODUCTION IMPROVEMENT OF TABLEA AND CHOCOLATE PROCESSING FOR CACAO GROWERS ASSOCIATION OF SAN ANTONIO QUEZON INC",1,0.0000
ByQtr,2021,1,CALABARZON,776,"RE- ENFORCING FISH PROCESSING FACILITY OF CAFISOMACO THRU THE PROVISION OF COMMERCIAL   STEAMER",1,NULL
ByQtr,2021,1,CALABARZON,801,"Mechanization of the Production Process of TR Santi Enterprises",0,NULL
ByQtr,2021,2,CALABARZON,788,"UPGRADING THE CAPABILITY OF THE COFFEE PROCESSING FACILITY OF AGA FARMERS MULTI-PURPOSE COOPERATIVE (AGFAMCO) IN NASUGBU, BATANGAS",125,0.6892
ByQtr,2021,1,CALABARZON,899,"Upgrading of Cashew Spread Production of Pidiong&#039;s House of Cashew Nuts Through Acquisition of New Equipment",70,NULL
ByQtr,2021,1,CALABARZON,630,"ENHANCEMENT OF THE PRODUCTION OF YEMA, PASTILLAS, AND TAMARIND CANDIES FOR PAULA&#039;S CANDIES STORE",11,NULL
ByQtr,2021,1,CALABARZON,431,"Technology Upgrade on Soy Bean Processing Facility of Saludare Food House",50,NULL
ByQtr,2021,2,CALABARZON,904,"UPGRADING OF THE PRODUCTION PROCESS AND PRODUCT DEVELOPMENT OF C AND H COSMETIC INDUSTRY",1,0.0000
ByQtr,2021,2,CALABARZON,926,"ESTABLISHMENT OF PLASTIC WASTE REDUCTION FACILITY OF LOCAL GOVERNMENT OF MENDEZ NUNEZ",1,NULL
ByQtr,2021,2,CALABARZON,504,"Automation of Lathing Process of New Sun Machine Shop Engineering Services and Supplies",35,0.0000
ByQtr,2021,2,CALABARZON,409,"Fruit Preserves Production Facility Improvement for Centro Filipino For returning Migrants, Inc. (C4RM) as Community-Based Livelihood Opportunities for OFW Returnees and Their Families",62,NULL
ByQtr,2021,3,CALABARZON,418,"Technology Enhancement of the Production Capabilities of Obiena Enterprises Co. by Investing on Modern Production Equipment",50,NULL
ByQtr,2021,2,CALABARZON,932,"Enhancement of Machining Capability of JTEC Machine Shop through the adoption of Vertical Drilling and Tapping Center",1,0.0000
ByQtr,2021,1,CALABARZON,530,"Upgrading the Retort Process Technology of Reyson&#039;s Food Processing",41,NULL
ByQtr,2021,1,CALABARZON,760,"Upgrading of Fermentation Process through Equipment Acquisition of the Blackwhite Craft Brewery in Mabini, Batangas",-50,NULL
ByQtr,2021,2,CALABARZON,631,"PROVISION OF BIOGAS FACILITY AS A UNIQUE APPROACH TO ALTERNATIVE ENERGY SOURCE AND ORGANIC WASTE TREATMENT FOR GREGORIO PIGGERY FARM",100,NULL
ByQtr,2021,2,CALABARZON,767,"PRODUCT AND PROCESS IMPROVEMENT OF CACAO PROCESSING OF KIDLAT",238,0.0000
ByQtr,2021,1,CALABARZON,495,"Mechanization of Production Processes of Siony&#039;s Pili Tarts and Pastillas",-18,NULL
ByQtr,2021,2,CALABARZON,631,"PROVISION OF BIOGAS FACILITY AS A UNIQUE APPROACH TO ALTERNATIVE ENERGY SOURCE AND ORGANIC WASTE TREATMENT FOR GREGORIO PIGGERY FARM",100,NULL
ByQtr,2021,1,CALABARZON,961,"INTEGRATING S&amp;T IN THE TECHNICAL VOCATIONAL TRACK HOME ECONOMICS OF B.N. CALARA INTEGRATED HIGH SCHOOL",1,NULL
ByQtr,2021,1,CALABARZON,389,"MECHANIZATION OF THE PRODUCTION PROCESSES AND GMP IMPLEMENTATION OF GINGA AGRIFOOD MANUFACTURING ENTERPRISES, INC.â€",4,NULL
ByQtr,2021,1,CALABARZON,636,"Upgrading of Production Capability of GNG Bakery through Acquisition of New Equipment",15,NULL
ByQtr,2021,1,CALABARZON,567,"Upgrading of production and improvement of product quality of NMC Food Concept in Antipolo City Through Technology Intervention",92,NULL
ByQtr,2021,1,CALABARZON,524,"Establishment of Drying Facility for the Local Government Unit of Panukulan",1,NULL
ByQtr,2021,2,CALABARZON,524,"Establishment of Drying Facility for the Local Government Unit of Panukulan",1,0.0000
ByQtr,2021,1,CALABARZON,633,"Liquid Chemicals Mixing Process Enhancement for Taliba Soap Manufacturing",50,NULL
ByQtr,2021,2,CALABARZON,658,"Upgrading of the Production Facility of Original Abaksa Bakery",80,0.0000
ByQtr,2021,1,CALABARZON,803,"PRODUCTION IMPROVEMENT OF SMMC THROUGH EQUIPMENT UPGRADING",30,NULL
ByQtr,2021,1,CALABARZON,712,"Upgrading the Milling Process of Lark Seimitsu Enterprise",4,NULL
ByQtr,2021,1,CALABARZON,350,"Upgrading of the Production Process of Teng&#039;s Cakes and Pastries",-1,NULL
ByQtr,2021,2,CALABARZON,912,"ESTABLISHMENT OF BUFFALO MILK PRODUCTION FACILITY IN THE MUNICIPALITY OF QUEZON",-1,0.0000
ByQtr,2021,2,CALABARZON,984,"UPGRADING OF PROCESS OF PIZZA PRODUCTION AND EXECUTION OF DOST-DESIGNED PACKAGING MATERIAL OF CHEF ARY AND KY&#039;S PIZZERIA AND RESTO",0,NULL
ByQtr,2021,1,CALABARZON,422,"Printing Technology Upgrade for VR Grafix Autosign in Mabini, Batangas",100,NULL
ByQtr,2021,1,CALABARZON,332,"Establishment of Peanut Butter Processing Center for Boyet Ynares Ladies Movement in Binangonan",30,NULL
ByQtr,2021,1,CALABARZON,672,"UPGRADING THE SEAMING AND EXPELLING PROCESS IN THE PRODUCTION OF COCO PRODUCTS OF NQDPI",20,NULL
ByQtr,2021,1,CALABARZON,522,"UPGRADING THE PRODUCTION PROCESS AND PRODUCTS OF SILI GROWERS ASSOCIATION",-1,NULL
ByQtr,2021,2,CALABARZON,522,"UPGRADING THE PRODUCTION PROCESS AND PRODUCTS OF SILI GROWERS ASSOCIATION",-1,0.0000
ByQtr,2021,1,CALABARZON,504,"Automation of Lathing Process of New Sun Machine Shop Engineering Services and Supplies",35,NULL
ByQtr,2021,2,CALABARZON,498,"Upgrading of Production Facility of G.B. Daza Longanisa Lucban",77,-0.0375
ByQtr,2021,1,CALABARZON,902,"Technology Upgrade of Metal Fabrication of Twin Tech Engineering in Lipa City, Batangas through Equipment Acquisition",1,NULL
ByQtr,2021,1,CALABARZON,617,"AUGMENTING PRODUCTION PROCESS OF MAGIFRANCE BAKESHOP THROUGH MECHANIZATION",3000,NULL
ByQtr,2021,1,CALABARZON,935,"PRODUCTIVITY ENHANCEMENT THROUGH TECHNOLOGY UPGRADE AND PROCESS IMPROVEMENT OF DAIRY PRODUCTS OF THE ROSARIO LIVESTOCK AND AGRICULTURE FARMING COOPERATIVE (TRLAFCO) IN ROSARIO, BATANGAS",1,NULL
ByQtr,2021,1,CALABARZON,919,"INSTALLATION OF MIXING TANKS TO ENHANCE THE SHELF LIFE AND MARKETABILITY OF EGG PRODUCTS",1,NULL
ByQtr,2021,1,CALABARZON,947,"Food Laboratory Improvement of Cavite State University- CCAT (Rosario Campus)",1,NULL
ByQtr,2021,1,CALABARZON,447,"Improvement of Product Quality and Safety of Bread Products of Dan and Thea Bakery through Upgrading of Equipment",15,NULL
ByQtr,2021,2,CALABARZON,971,"Enhancement of Quality Complementary Food Products through Acquisition of Appropriate Packaging Material",1,0.0000
ByQtr,2021,2,CALABARZON,345,"Enhancing the Production Capability of Sweet Solutions  Bakeshop thru Acquisition of Modern Baking Equipment",50,0.0000
